quarter,personal_characteristics,position_begin,position_end,number_of_persons
2005-3,Age: 25-45 years,non labourforce,unemployed,71
2005-3,Age: 25-45 years,non labourforce,non labourforce,643
2005-3,Age: 45-65 years,TOTAL,TOTAL,4252
2005-3,Age: 45-65 years,TOTAL,employed,2432
2005-3,Age: 45-65 years,TOTAL,unemployed,147
2005-3,Age: 45-65 years,TOTAL,non labourforce,1672
2005-3,Age: 45-65 years,employed,TOTAL,2460
2005-3,Age: 45-65 years,employed,employed,2395
2005-3,Age: 45-65 years,employed,unemployed,20
2005-3,Age: 45-65 years,employed,non labourforce,45
2005-3,Age: 45-65 years,unemployed,TOTAL,139
2005-3,Age: 45-65 years,unemployed,employed,14
2005-3,Age: 45-65 years,unemployed,unemployed,91
2005-3,Age: 45-65 years,unemployed,non labourforce,34
2005-3,Age: 45-65 years,non labourforce,TOTAL,1653
2005-3,Age: 45-65 years,non labourforce,employed,23
2005-3,Age: 45-65 years,non labourforce,unemployed,36
2005-3,Age: 45-65 years,non labourforce,non labourforce,1594
2005-3,Education level: lower,TOTAL,TOTAL,3560
2005-3,Education level: lower,TOTAL,employed,1627
2005-3,Education level: lower,TOTAL,unemployed,162
2005-3,Education level: lower,TOTAL,non labourforce,1772
2005-3,Education level: lower,employed,TOTAL,1660
2005-3,Education level: lower,employed,employed,1559
2005-3,Education level: lower,employed,unemployed,22
2005-3,Education level: lower,employed,non labourforce,79
2005-3,Education level: lower,unemployed,TOTAL,167
2005-3,Education level: lower,unemployed,employed,26
2005-3,Education level: lower,unemployed,unemployed,82
2005-3,Education level: lower,unemployed,non labourforce,58
2005-3,Education level: lower,non labourforce,TOTAL,1734
2005-3,Education level: lower,non labourforce,employed,42
2005-3,Education level: lower,non labourforce,unemployed,57
2005-3,Education level: lower,non labourforce,non labourforce,1635
2005-3,Education level: middle,TOTAL,TOTAL,4560
2005-3,Education level: middle,TOTAL,employed,3128
2005-3,Education level: middle,TOTAL,unemployed,186
2005-3,Education level: middle,TOTAL,non labourforce,1245
2005-3,Education level: middle,employed,TOTAL,3128
2005-3,Education level: middle,employed,employed,3022
2005-3,Education level: middle,employed,unemployed,30
2005-3,Education level: middle,employed,non labourforce,76
2005-3,Education level: middle,unemployed,TOTAL,199
2005-3,Education level: middle,unemployed,employed,46
2005-3,Education level: middle,unemployed,unemployed,97
2005-3,Education level: middle,unemployed,non labourforce,56
2005-3,Education level: middle,non labourforce,TOTAL,1232
2005-3,Education level: middle,non labourforce,employed,60
2005-3,Education level: middle,non labourforce,unemployed,59
2005-3,Education level: middle,non labourforce,non labourforce,1113
2005-3,Education level: higher,TOTAL,TOTAL,2720
2005-3,Education level: higher,TOTAL,employed,2193
2005-3,Education level: higher,TOTAL,unemployed,95
2005-3,Education level: higher,TOTAL,non labourforce,431
2005-3,Education level: higher,employed,TOTAL,2192
2005-3,Education level: higher,employed,employed,2146
2005-3,Education level: higher,employed,unemployed,16
2005-3,Education level: higher,employed,non labourforce,30
2005-3,Education level: higher,unemployed,TOTAL,104
2005-3,Education level: higher,unemployed,employed,27
2005-3,Education level: higher,unemployed,unemployed,53
2005-3,Education level: higher,unemployed,non labourforce,24
2005-3,Education level: higher,non labourforce,TOTAL,424
2005-3,Education level: higher,non labourforce,employed,20
2005-3,Education level: higher,non labourforce,unemployed,26
2005-3,Education level: higher,non labourforce,non labourforce,377
2005-3,Education level: unknown,TOTAL,TOTAL,102
2005-3,Education level: unknown,TOTAL,employed,62
2005-3,Education level: unknown,TOTAL,unemployed,5
2005-3,Education level: unknown,TOTAL,non labourforce,35
2005-3,Education level: unknown,employed,TOTAL,61
2005-3,Education level: unknown,employed,employed,58
2005-3,Education level: unknown,employed,unemployed,
2005-3,Education level: unknown,employed,non labourforce,2
2005-3,Education level: unknown,unemployed,TOTAL,6
2005-3,Education level: unknown,unemployed,employed,2
2005-3,Education level: unknown,unemployed,unemployed,3
2005-3,Education level: unknown,unemployed,non labourforce,
2005-3,Education level: unknown,non labourforce,TOTAL,34
2005-3,Education level: unknown,non labourforce,employed,
2005-3,Education level: unknown,non labourforce,unemployed,
2005-3,Education level: unknown,non labourforce,non labourforce,32
2005-3,Job level: elementary,TOTAL,TOTAL,577
2005-3,Job level: elementary,TOTAL,employed,518
2005-3,Job level: elementary,TOTAL,unemployed,13
2005-3,Job level: elementary,TOTAL,non labourforce,45
2005-3,Job level: elementary,employed,TOTAL,539
2005-3,Job level: elementary,employed,employed,480
2005-3,Job level: elementary,employed,unemployed,13
2005-3,Job level: elementary,employed,non labourforce,45
2005-3,Job level: elementary,unemployed,TOTAL,13
2005-3,Job level: elementary,unemployed,employed,13
2005-3,Job level: elementary,unemployed,unemployed,
2005-3,Job level: elementary,unemployed,non labourforce,
2005-3,Job level: elementary,non labourforce,TOTAL,25
2005-3,Job level: elementary,non labourforce,employed,25
2005-3,Job level: elementary,non labourforce,unemployed,
2005-3,Job level: elementary,non labourforce,non labourforce,
2005-3,Job level: lower,TOTAL,TOTAL,1809
2005-3,Job level: lower,TOTAL,employed,1706
2005-3,Job level: lower,TOTAL,unemployed,24
2005-3,Job level: lower,TOTAL,non labourforce,79
2005-3,Job level: lower,employed,TOTAL,1716
2005-3,Job level: lower,employed,employed,1614
2005-3,Job level: lower,employed,unemployed,24
2005-3,Job level: lower,employed,non labourforce,79
2005-3,Job level: lower,unemployed,TOTAL,44
2005-3,Job level: lower,unemployed,employed,44
2005-3,Job level: lower,unemployed,unemployed,
2005-3,Job level: lower,unemployed,non labourforce,
2005-3,Job level: lower,non labourforce,TOTAL,49
2005-3,Job level: lower,non labourforce,employed,49
2005-3,Job level: lower,non labourforce,unemployed,
2005-3,Job level: lower,non labourforce,non labourforce,
2005-3,Job level: middle,TOTAL,TOTAL,2751
2005-3,Job level: middle,TOTAL,employed,2691
2005-3,Job level: middle,TOTAL,unemployed,19
2005-3,Job level: middle,TOTAL,non labourforce,41
2005-3,Job level: middle,employed,TOTAL,2699
2005-3,Job level: middle,employed,employed,2639
2005-3,Job level: middle,employed,unemployed,19
2005-3,Job level: middle,employed,non labourforce,41
2005-3,Job level: middle,unemployed,TOTAL,23
2005-3,Job level: middle,unemployed,employed,23
2005-3,Job level: middle,unemployed,unemployed,
2005-3,Job level: middle,unemployed,non labourforce,
2005-3,Job level: middle,non labourforce,TOTAL,30
2005-3,Job level: middle,non labourforce,employed,30
2005-3,Job level: middle,non labourforce,unemployed,
2005-3,Job level: middle,non labourforce,non labourforce,
2005-3,Job level: higher,TOTAL,TOTAL,1488
2005-3,Job level: higher,TOTAL,employed,1466
2005-3,Job level: higher,TOTAL,unemployed,8
2005-3,Job level: higher,TOTAL,non labourforce,14
2005-3,Job level: higher,employed,TOTAL,1458
2005-3,Job level: higher,employed,employed,1437
2005-3,Job level: higher,employed,unemployed,8
2005-3,Job level: higher,employed,non labourforce,14
2005-3,Job level: higher,unemployed,TOTAL,18
2005-3,Job level: higher,unemployed,employed,18
2005-3,Job level: higher,unemployed,unemployed,
2005-3,Job level: higher,unemployed,non labourforce,
2005-3,Job level: higher,non labourforce,TOTAL,12
2005-3,Job level: higher,non labourforce,employed,12
2005-3,Job level: higher,non labourforce,unemployed,
2005-3,Job level: higher,non labourforce,non labourforce,
2005-3,Job level: scientific,TOTAL,TOTAL,574
2005-3,Job level: scientific,TOTAL,employed,563
2005-3,Job level: scientific,TOTAL,unemployed,4
2005-3,Job level: scientific,TOTAL,non labourforce,7
2005-3,Job level: scientific,employed,TOTAL,566
2005-3,Job level: scientific,employed,employed,556
2005-3,Job level: scientific,employed,unemployed,4
2005-3,Job level: scientific,employed,non labourforce,7
2005-3,Job level: scientific,unemployed,TOTAL,3
2005-3,Job level: scientific,unemployed,employed,3
2005-3,Job level: scientific,unemployed,unemployed,
2005-3,Job level: scientific,unemployed,non labourforce,
2005-3,Job level: scientific,non labourforce,TOTAL,5
2005-3,Job level: scientific,non labourforce,employed,5
2005-3,Job level: scientific,non labourforce,unemployed,
2005-3,Job level: scientific,non labourforce,non labourforce,
2005-4,TOTAL,TOTAL,TOTAL,10945
2005-4,TOTAL,TOTAL,employed,6994
2005-4,TOTAL,TOTAL,unemployed,466
2005-4,TOTAL,TOTAL,non labourforce,3484
2005-4,TOTAL,employed,TOTAL,7010
2005-4,TOTAL,employed,employed,6796
2005-4,TOTAL,employed,unemployed,81
2005-4,TOTAL,employed,non labourforce,134
2005-4,TOTAL,unemployed,TOTAL,448
2005-4,TOTAL,unemployed,employed,88
2005-4,TOTAL,unemployed,unemployed,242
2005-4,TOTAL,unemployed,non labourforce,119
2005-4,TOTAL,non labourforce,TOTAL,3486
2005-4,TOTAL,non labourforce,employed,111
2005-4,TOTAL,non labourforce,unemployed,143
2005-4,TOTAL,non labourforce,non labourforce,3232
2005-4,Gender: male,TOTAL,TOTAL,5518
2005-4,Gender: male,TOTAL,employed,4057
2005-4,Gender: male,TOTAL,unemployed,222
2005-4,Gender: male,TOTAL,non labourforce,1239
2005-4,Gender: male,employed,TOTAL,4072
2005-4,Gender: male,employed,employed,3962
2005-4,Gender: male,employed,unemployed,45
2005-4,Gender: male,employed,non labourforce,65
2005-4,Gender: male,unemployed,TOTAL,214
2005-4,Gender: male,unemployed,employed,44
2005-4,Gender: male,unemployed,unemployed,119
2005-4,Gender: male,unemployed,non labourforce,50
2005-4,Gender: male,non labourforce,TOTAL,1232
2005-4,Gender: male,non labourforce,employed,51
2005-4,Gender: male,non labourforce,unemployed,57
2005-4,Gender: male,non labourforce,non labourforce,1123
2005-4,Gender: female,TOTAL,TOTAL,5427
2005-4,Gender: female,TOTAL,employed,2937
2005-4,Gender: female,TOTAL,unemployed,244
2005-4,Gender: female,TOTAL,non labourforce,2246
2005-4,Gender: female,employed,TOTAL,2938
2005-4,Gender: female,employed,employed,2834
2005-4,Gender: female,employed,unemployed,36
2005-4,Gender: female,employed,non labourforce,69
2005-4,Gender: female,unemployed,TOTAL,235
2005-4,Gender: female,unemployed,employed,43
2005-4,Gender: female,unemployed,unemployed,123
2005-4,Gender: female,unemployed,non labourforce,69
2005-4,Gender: female,non labourforce,TOTAL,2254
2005-4,Gender: female,non labourforce,employed,60
2005-4,Gender: female,non labourforce,unemployed,86
2005-4,Gender: female,non labourforce,non labourforce,2108
2005-4,Age: 15-25 years,TOTAL,TOTAL,1949
2005-4,Age: 15-25 years,TOTAL,employed,763
2005-4,Age: 15-25 years,TOTAL,unemployed,98
2005-4,Age: 15-25 years,TOTAL,non labourforce,1087
2005-4,Age: 15-25 years,employed,TOTAL,746
2005-4,Age: 15-25 years,employed,employed,681
2005-4,Age: 15-25 years,employed,unemployed,19
2005-4,Age: 15-25 years,employed,non labourforce,45
2005-4,Age: 15-25 years,unemployed,TOTAL,86
2005-4,Age: 15-25 years,unemployed,employed,25
2005-4,Age: 15-25 years,unemployed,unemployed,33
2005-4,Age: 15-25 years,unemployed,non labourforce,28
2005-4,Age: 15-25 years,non labourforce,TOTAL,1117
2005-4,Age: 15-25 years,non labourforce,employed,57
2005-4,Age: 15-25 years,non labourforce,unemployed,46
2005-4,Age: 15-25 years,non labourforce,non labourforce,1015
2005-4,Age: 25-45 years,TOTAL,TOTAL,4728
2005-4,Age: 25-45 years,TOTAL,employed,3791
2005-4,Age: 25-45 years,TOTAL,unemployed,222
2005-4,Age: 25-45 years,TOTAL,non labourforce,715
2005-4,Age: 25-45 years,employed,TOTAL,3795
2005-4,Age: 25-45 years,employed,employed,3710
2005-4,Age: 25-45 years,employed,unemployed,46
2005-4,Age: 25-45 years,employed,non labourforce,39
2005-4,Age: 25-45 years,unemployed,TOTAL,214
2005-4,Age: 25-45 years,unemployed,employed,47
2005-4,Age: 25-45 years,unemployed,unemployed,116
2005-4,Age: 25-45 years,unemployed,non labourforce,51
2005-4,Age: 25-45 years,non labourforce,TOTAL,720
2005-4,Age: 25-45 years,non labourforce,employed,34
2005-4,Age: 25-45 years,non labourforce,unemployed,60
2005-4,Age: 25-45 years,non labourforce,non labourforce,626
2005-4,Age: 45-65 years,TOTAL,TOTAL,4267
2005-4,Age: 45-65 years,TOTAL,employed,2440
2005-4,Age: 45-65 years,TOTAL,unemployed,146
2005-4,Age: 45-65 years,TOTAL,non labourforce,1682
2005-4,Age: 45-65 years,employed,TOTAL,2470
2005-4,Age: 45-65 years,employed,employed,2404
2005-4,Age: 45-65 years,employed,unemployed,16
2005-4,Age: 45-65 years,employed,non labourforce,51
2005-4,Age: 45-65 years,unemployed,TOTAL,148
2005-4,Age: 45-65 years,unemployed,employed,16
2005-4,Age: 45-65 years,unemployed,unemployed,93
2005-4,Age: 45-65 years,unemployed,non labourforce,40
2005-4,Age: 45-65 years,non labourforce,TOTAL,1649
2005-4,Age: 45-65 years,non labourforce,employed,20
2005-4,Age: 45-65 years,non labourforce,unemployed,37
2005-4,Age: 45-65 years,non labourforce,non labourforce,1591
2005-4,Education level: lower,TOTAL,TOTAL,3565
2005-4,Education level: lower,TOTAL,employed,1629
2005-4,Education level: lower,TOTAL,unemployed,164
2005-4,Education level: lower,TOTAL,non labourforce,1772
2005-4,Education level: lower,employed,TOTAL,1629
2005-4,Education level: lower,employed,employed,1557
2005-4,Education level: lower,employed,unemployed,28
2005-4,Education level: lower,employed,non labourforce,43
2005-4,Education level: lower,unemployed,TOTAL,154
2005-4,Education level: lower,unemployed,employed,27
2005-4,Education level: lower,unemployed,unemployed,79
2005-4,Education level: lower,unemployed,non labourforce,48
2005-4,Education level: lower,non labourforce,TOTAL,1782
2005-4,Education level: lower,non labourforce,employed,45
2005-4,Education level: lower,non labourforce,unemployed,57
2005-4,Education level: lower,non labourforce,non labourforce,1680
2005-4,Education level: middle,TOTAL,TOTAL,4558
2005-4,Education level: middle,TOTAL,employed,3105
2005-4,Education level: middle,TOTAL,unemployed,204
2005-4,Education level: middle,TOTAL,non labourforce,1250
2005-4,Education level: middle,employed,TOTAL,3120
2005-4,Education level: middle,employed,employed,3022
2005-4,Education level: middle,employed,unemployed,37
2005-4,Education level: middle,employed,non labourforce,61
2005-4,Education level: middle,unemployed,TOTAL,193
2005-4,Education level: middle,unemployed,employed,35
2005-4,Education level: middle,unemployed,unemployed,108
2005-4,Education level: middle,unemployed,non labourforce,50
2005-4,Education level: middle,non labourforce,TOTAL,1246
2005-4,Education level: middle,non labourforce,employed,49
2005-4,Education level: middle,non labourforce,unemployed,59
2005-4,Education level: middle,non labourforce,non labourforce,1138
2005-4,Education level: higher,TOTAL,TOTAL,2726
2005-4,Education level: higher,TOTAL,employed,2200
2005-4,Education level: higher,TOTAL,unemployed,91
2005-4,Education level: higher,TOTAL,non labourforce,435
2005-4,Education level: higher,employed,TOTAL,2201
2005-4,Education level: higher,employed,employed,2159
2005-4,Education level: higher,employed,unemployed,15
2005-4,Education level: higher,employed,non labourforce,28
2005-4,Education level: higher,unemployed,TOTAL,96
2005-4,Education level: higher,unemployed,employed,25
2005-4,Education level: higher,unemployed,unemployed,52
2005-4,Education level: higher,unemployed,non labourforce,19
2005-4,Education level: higher,non labourforce,TOTAL,428
2005-4,Education level: higher,non labourforce,employed,17
2005-4,Education level: higher,non labourforce,unemployed,24
2005-4,Education level: higher,non labourforce,non labourforce,387
2005-4,Education level: unknown,TOTAL,TOTAL,95
2005-4,Education level: unknown,TOTAL,employed,60
2005-4,Education level: unknown,TOTAL,unemployed,7
2005-4,Education level: unknown,TOTAL,non labourforce,28
2005-4,Education level: unknown,employed,TOTAL,60
2005-4,Education level: unknown,employed,employed,58
2005-4,Education level: unknown,employed,unemployed,
2005-4,Education level: unknown,employed,non labourforce,
2005-4,Education level: unknown,unemployed,TOTAL,5
2005-4,Education level: unknown,unemployed,employed,
2005-4,Education level: unknown,unemployed,unemployed,3
2005-4,Education level: unknown,unemployed,non labourforce,
2005-4,Education level: unknown,non labourforce,TOTAL,30
2005-4,Education level: unknown,non labourforce,employed,
2005-4,Education level: unknown,non labourforce,unemployed,3
2005-4,Education level: unknown,non labourforce,non labourforce,26
2005-4,Job level: elementary,TOTAL,TOTAL,544
2005-4,Job level: elementary,TOTAL,employed,510
2005-4,Job level: elementary,TOTAL,unemployed,14
2005-4,Job level: elementary,TOTAL,non labourforce,20
2005-4,Job level: elementary,employed,TOTAL,507
2005-4,Job level: elementary,employed,employed,473
2005-4,Job level: elementary,employed,unemployed,14
2005-4,Job level: elementary,employed,non labourforce,20
2005-4,Job level: elementary,unemployed,TOTAL,14
2005-4,Job level: elementary,unemployed,employed,14
2005-4,Job level: elementary,unemployed,unemployed,
2005-4,Job level: elementary,unemployed,non labourforce,
2005-4,Job level: elementary,non labourforce,TOTAL,23
2005-4,Job level: elementary,non labourforce,employed,23
